Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Brusino Arsizio;6827;0;Brusino Arsizio;TI;716275;86772
Brusio;7743;0;Brusio;GR;806781;128154
Bruson;1934;1;Bagnes;VS;582159;99750
Bruzella;6837;2;Breggia;TI;726200;83327
Brè sopra Lugano;6979;0;Lugano;TI;720841;97529
Brügg BE;2555;0;Brügg;BE;588152;219654
Brügglen;4582;0;Brügglen;SO;604192;221575
Brülisau;9058;0;Schwende;AI;752670;238042
Brünig;3860;4;Meiringen;BE;652896;178995
Brünisried;1719;0;Brünisried;FR;587733;178293
Brüttelen;3237;0;Brüttelen;BE;577999;207852
Brütten;8311;0;Brütten;ZH;693211;259007
Brüttisellen;8306;0;Wangen-Brüttisellen;ZH;690317;253042
Bubendorf;4416;0;Bubendorf;BL;622336;255182
Bubikon;8608;0;Bubikon;ZH;703846;236997
Buch SH;8263;0;Buch (SH);SH;700993;285931
Buch am Irchel;8414;0;Buch am Irchel;ZH;689313;267315
Buch b. Frauenfeld;8524;2;Uesslingen-Buch;TG;705239;272942
Buch b. Kümmertshausen;8586;10;Birwinken;TG;735163;270477
Buch b. Märwil;9562;2;Affeltrangen;TG;721905;266472
Buchackern;8586;7;Erlen;TG;735765;266555
Buchberg;8455;2;Buchberg;SH;686587;272475
Buchberg;8454;0;Buchberg;SH;683699;269247
Buchberg;8455;1;Buchberg;SH;683819;271841
Buchen BE;3623;3;Horrenbach-Buchen;BE;620868;181074
Buchen im Prättigau;7223;0;Luzein;GR;773959;201137
Buchillon;1164;0;Buchillon;VD;520939;146673
Buchrain;6033;0;Buchrain;LU;668941;217173
Buchs AG;5033;0;Buchs (AG);AG;648092;249336
Buchs LU;6211;1;Dagmersellen;LU;645315;228071
Buchs SG;9470;0;Buchs (SG);SG;754442;225805
Buchs ZH;8107;0;Buchs (ZH);ZH;675555;256914
Buckten;4446;0;Buckten;BL;630772;251391
Buhwil;9215;2;Kradolf-Schönenberg;TG;730239;265516
Buix;2925;0;Basse-Allaine;JU;568817;258333
Bulle;1630;0;Bulle;FR;566234;159632
Bullet;1453;0;Bullet;VD;533044;188995
Buochs;6374;0;Buochs;NW;674586;201871
Buonas;6343;2;Risch;ZG;677583;221316
Bure;2915;0;Bure;JU;566582;254444
Burg AG;5736;0;Burg (AG);AG;656043;231744
Burg im Leimental;4117;0;Burg im Leimental;BL;600058;255766
Burgdorf;3400;0;Burgdorf;BE;613616;211853
Burgistein;3664;0;Burgistein;BE;604957;182176
Burglauenen;3816;1;Grindelwald;BE;641042;164566
Burgäschi;4556;3;Aeschi (SO);SO;617540;224549
Bursinel;1195;3;Bursinel;VD;513250;143982
Bursins;1183;0;Bursins;VD;511653;144796
Burtigny;1268;2;Burtigny;VD;509908;147253
Buseno;6542;0;Buseno;GR;727932;126066
Bussigny-près-Lausanne;1030;0;Bussigny-près-Lausanne;VD;531651;156264
Bussigny-sur-Oron;1608;2;Oron;VD;555884;157793
Bussnang;9565;0;Bussnang;TG;723699;268660
Busswil BE;3292;0;Lyss;BE;591139;216631
Busswil TG;8371;0;Sirnach;TG;718932;256977
Busswil b. Melchnau;4917;2;Busswil bei Melchnau;BE;629727;226369
Bussy FR;1541;0;Bussy (FR);FR;558433;187282
Bussy-Chardonney;1136;0;Bussy-Chardonney;VD;523206;153788
Bussy-sur-Moudon;1514;0;Bussy-sur-Moudon;VD;551985;171309
Buttes;2115;0;Val-de-Travers;NE;531946;192226
Buttikon SZ;8863;0;Schübelbach;SZ;714330;225299
Buttisholz;6018;0;Buttisholz;LU;649933;218385
Buttwil;5632;0;Buttwil;AG;665588;235787
Buus;4463;0;Buus;BL;632353;261802
Bäch SZ;8806;0;Freienbach;SZ;698056;229036
Bächli (Hemberg);9633;2;Hemberg;SG;733419;240287
Bänk (Dägerlen);8471;5;Dägerlen;ZH;697859;267278
Bärau;3552;0;Langnau im Emmental;BE;629406;198391
Bäretswil;8344;0;Bäretswil;ZH;708474;243798
Bäriswil BE;3323;0;Bäriswil;BE;607015;207217
Bärschwil;4252;0;Bärschwil;SO;602118;248360
Bätterkinden;3315;0;Bätterkinden;BE;606758;219689
Bätterkinden;3315;0;Bätterkinden;BE;607408;221205
Bättwil;4112;1;Bättwil;SO;605451;260002
Bévilard;2735;2;Bévilard;BE;588429;231452
Bôle;2014;0;Bôle;NE;554122;202142
Böbikon;5334;0;Böbikon;AG;667575;267173
Böckten;4461;0;Böckten;BL;629835;257619
Bönigen b. Interlaken;3806;0;Bönigen;BE;636805;169700
Bösingen;3178;0;Bösingen;FR;584092;192525
Böttstein;5315;0;Böttstein;AG;658666;267210
Bözen;5076;0;Bözen;AG;649012;260763
Büchslen;3215;2;Büchslen;FR;580509;199225
Büetigen;3263;0;Büetigen;BE;592070;217241
Bühl b. Aarberg;3274;2;Bühl;BE;585393;212847
Bühler;9055;0;Bühler;AR;750197;249444
Bülach;8180;0;Bülach;ZH;683359;265024
Bünzen;5624;0;Bünzen;AG;667067;240938
Bürchen;3935;0;Bürchen;VS;629498;124503
Büren NW;6382;0;Oberdorf (NW);NW;674070;199353
Büren SO;4413;0;Büren (SO);SO;617556;255415
Büren an der Aare;3294;0;Büren an der Aare;BE;594471;221214
Büren zum Hof;3313;0;Büren zum Hof;BE;605215;216362
Bürgenstock;6363;2;Ennetbürgen;NW;672863;205410
Bürglen OW;6078;2;Lungern;OW;655525;184732
Bürglen TG;8575;0;Bürglen (TG);TG;729023;268241
Bürglen UR;6463;0;Bürglen (UR);UR;695017;194000
Büriswilen;9442;2;Oberegg;AI;763000;255752
Büron;6233;0;Büron;LU;649725;229417
Büsserach;4227;0;Büsserach;SO;608309;248791
Bütschwil;9606;0;Bütschwil;SG;723006;246374
Büttenhardt;8236;0;Büttenhardt;SH;690435;289985
Büttikon AG;5619;0;Büttikon;AG;662693;242287
Bützberg;4922;0;Thunstetten;BE;623298;229432
Cabbio;6838;2;Breggia;TI;725682;84818
Cademario;6936;0;Cademario;TI;712618;97945
Cadempino;6814;3;Cadempino;TI;715774;99280
Cadenazzo;6593;0;Cadenazzo;TI;716840;112161
Cadro;6965;0;Cadro;TI;720334;100023
Cagiallo;6955;0;Capriasca;TI;720414;106100
Cagiallo;6955;0;Capriasca;TI;718913;102610
Cagiallo;6955;0;Capriasca;TI;721725;109135
Calfreisen;7027;3;Calfreisen;GR;764950;191855
Calonico;6746;1;Faido;TI;708065;145534
Calpiogna;6760;2;Calpiogna;TI;704947;149132
Cama;6557;0;Cama;GR;735994;124800
Camedo;6659;0;Centovalli;TI;690330;112226
Camignolo;6803;0;Monteceneri;TI;716751;107005
Camischolas;7187;0;Tujetsch;GR;701198;170881
Camorino;6528;0;Camorino;TI;721592;112891
Campascio;7748;0;Brusio;GR;804842;124129
Campello;6760;3;Calpiogna;TI;705619;151502
Camperio;6718;1;Blenio;TI;712941;152748
Campo (Blenio);6720;0;Blenio;TI;711032;157845
Campo (Vallemaggia);6684;0;Campo (Vallemaggia);TI;681922;127136
Campocologno;7744;0;Brusio;GR;808526;124054
Campsut-Cröt;7446;0;Avers;GR;757207;147903
Camuns;7113;0;Suraua;GR;736027;173326
Caneggio;6837;0;Breggia;TI;725494;82224
Canobbio;6952;0;Canobbio;TI;718289;99248
Capolago;6825;0;Mendrisio;TI;720088;84728
Cappella-Agnuzzo;6925;0;Lugano;TI;716252;94574
Carabbia;6913;0;Lugano;TI;715864;92101
Carabietta;6919;0;Collina d'Oro;TI;713727;92854
Carasso;6503;0;Bellinzona;TI;721004;118652
Carena;6584;0;Sant'Antonio;TI;727294;114217
Carona;6914;0;Carona;TI;715641;90033
Carouge GE;1227;0;Carouge (GE);GE;499654;115064
Carrera;7122;2;Valendas;GR;741956;183793
Carrouge VD;1084;0;Carrouge (VD);VD;549116;161467
Cartigny;1236;0;Cartigny;GE;491119;114556
Carì;6760;4;Campello;TI;706515;151372
Casaccia;7602;0;Bregaglia;GR;771866;138137
Casima;6875;2;Castel San Pietro;TI;723822;83597
Caslano;6987;0;Caslano;TI;711601;92029
Cassina d'Agno;6990;0;Agno;TI;712570;94540
Castagnola;6976;0;Lugano;TI;719918;95738
Castaneda;6540;0;Castaneda;GR;730536;124170
Castasegna;7608;0;Bregaglia;GR;759977;135363
Castel San Pietro;6874;0;Castel San Pietro;TI;721993;80779
Castelrotto;6980;0;Croglio;TI;708324;94535
Castiel;7027;0;Castiel;GR;766033;191023
Castione;6532;0;Arbedo-Castione;TI;723720;120942
Castrisch;7126;0;Castrisch;GR;737361;181705
Castro;6723;2;Acquarossa;TI;710678;148295
Cauco;6546;0;Cauco;GR;728994;133426
Caux;1824;0;Montreux;VD;564633;144173
Cavagnago;6749;1;Cavagnago;TI;711505;141934
Cavardiras;7182;0;Disentis/Mustér;GR;710915;173487
Cavergno;6690;0;Cevio;TI;684846;136968
Caviano;6578;0;Gambarogno;TI;703383;106557
Cavigliano;6654;0;Cavigliano;TI;698084;116503
Cazis;7408;0;Cazis;GR;752296;177322
Celerina/Schlarigna;7505;0;Celerina/Schlarigna;GR;786535;153001
Cerentino;6683;0;Cerentino;TI;684720;130097
Cerniat FR;1654;0;Cerniat (FR);FR;580524;166652
Cerniaz VD;1682;5;Valbroye;VD;558724;175473
Cernier;2053;0;Cernier;NE;559387;212242
Certara;6959;2;Certara;TI;726162;104290
Cevio;6675;0;Cevio;TI;688979;128951
Chabrey;1589;0;Vully-les-Lacs;VD;565300;197786
Chailly-Montreux;1816;0;Montreux;VD;558015;144764
Chalais;3966;0;Chalais;VS;605960;123734
Cham;6330;0;Cham;ZG;676876;227745
Chamblon;1436;2;Chamblon;VD;535694;180946
Chambrelien;2019;2;Rochefort;NE;552344;202339
Chamby;1832;0;Montreux;VD;560067;144749
Chambésy;1292;0;Pregny-Chambésy;GE;499833;121800
Chamoille (Sembrancher);1933;3;Sembrancher;VS;578115;101128
Chamoson;1955;0;Chamoson;VS;583444;116936
Champ-du-Moulin;2149;0;Boudry;NE;549270;200537
Champagne;1424;0;Champagne;VD;540105;187477
Champex-Lac;1938;0;Orsières;VS;573483;98590
Champfèr;7512;0;Silvaplana;GR;780816;150292
Champlan (Grimisuat);1971;2;Grimisuat;VS;595310;121877
Champoussin;1873;2;Val-d'Illiez;VS;555278;117398
Champoz;2735;3;Champoz;BE;590297;234250
Champsec (Versegères);1947;5;Bagnes;VS;583954;97675
Champtauroz;1537;0;Champtauroz;VD;550102;178834
Champvent;1443;0;Champvent;VD;533150;181950
Champzabé;3976;2;Sierre;VS;604684;125316
Champéry;1874;0;Champéry;VS;554456;112192
Chancy;1284;0;Chancy;GE;487365;111853
Chandolin;3961;23;Anniviers;VS;612548;122546
Chandolin-près-Savièse;1965;7;Savièse;VS;590975;122378
Chandon;1773;2;Léchelles;FR;569579;187918
Chandonne (Liddes);1945;5;Liddes;VS;580538;95693
Chanéaz;1409;0;Chanéaz;VD;546792;175540
Chapelle (Broye);1534;2;Cheiry;FR;554930;179824
Chapelle (Glâne);1608;4;Chapelle (Glâne);FR;553958;159670
Chapelle-sur-Moudon;1063;0;Chapelle-sur-Moudon;VD;546326;169215
Chardonne;1803;0;Chardonne;VD;552541;147695
Charmey (Gruyère);1637;0;Charmey;FR;581192;160615
Charmoille;2947;0;La Baroche;JU;583152;252979
Charrat;1906;0;Charrat;VS;576424;107716
Chaumont;2067;0;Savagnier;NE;563912;209495
Chavannes-de-Bogis;1279;0;Chavannes-de-Bogis;VD;501049;132821
Chavannes-des-Bois;1290;2;Chavannes-des-Bois;VD;499712;130169
Chavannes-le-Chêne;1464;0;Chavannes-le-Chêne;VD;549719;181205
Chavannes-le-Veyron;1148;7;Chavannes-le-Veyron;VD;524019;162380
Chavannes-les-Forts;1676;0;Siviriez;FR;558438;166765
Chavannes-près-Renens;1022;0;Chavannes-près-Renens;VD;533866;153599
Chavannes-sous-Orsonnens;1694;4;Villorsonnens;FR;565835;175243
Chavannes-sur-Moudon;1512;0;Chavannes-sur-Moudon;VD;552154;167662
Chavornay;1373;0;Chavornay;VD;533105;172998
Cheiry;1529;0;Cheiry;FR;553766;177602
Chemin;1927;0;Martigny;VS;572086;104101
Chenaux;1091;3;Bourg-en-Lavaux;VD;545610;149655
Chermignon;3971;0;Chermignon;VS;602556;126230
Chermignon-d'en-Bas;3971;1;Chermignon;VS;603340;125739
Chernex;1822;0;Montreux;VD;560139;143119
Chesalles-sur-Moudon;1683;2;Chesalles-sur-Moudon;VD;553826;169507
Chesalles-sur-Oron;1608;3;Oron;VD;555117;158123
Cheseaux-Noréaz;1400;5;Cheseaux-Noréaz;VD;542006;182002
Cheseaux-sur-Lausanne;1033;0;Cheseaux-sur-Lausanne;VD;535412;159377
Chesières;1885;0;Ollon;VD;569049;127972
Chessel;1846;0;Chessel;VD;558277;133355
Chevenez;2906;0;Haute-Ajoie;JU;566635;249107
Chevilly;1316;0;Chevilly;VD;526010;166232
Chevroux;1545;0;Chevroux;VD;559792;193405
Chexbres;1071;0;Saint-Saphorin (Lavaux);VD;550073;148587
Cheyres;1468;0;Cheyres;FR;550271;184325
Chez Petit (Liddes);1945;11;Liddes;VS;577918;88856
Chez-le-Bart;2025;0;Gorgier;NE;550783;195733
Chiasso;6830;0;Chiasso;TI;723418;77037
Chiggiogna;6764;0;Faido;TI;706445;146693
Chiggiogna;6764;0;Faido;TI;707096;144673
Chigny;1134;2;Chigny;VD;526245;152038
Chippis;3965;0;Chippis;VS;607768;124772
Chironico;6747;0;Chironico;TI;704461;142102
Choulex;1244;0;Choulex;GE;506777;120050
Choëx;1871;0;Monthey;VS;562655;121017
Chur;7000;0;Chur;GR;759543;191280
Churwalden;7075;0;Churwalden;GR;759723;182862
Châbles;1474;0;Châbles;FR;552085;185624
Château-d'Oex;1660;0;Château-d'Oex;VD;577855;147103
Châtel-St-Denis;1618;0;Châtel-Saint-Denis;FR;562016;153732
Châtel-sur-Montsalvens;1653;3;Châtel-sur-Montsalvens;FR;576097;162959
Châtelaine;1219;12;Vernier;GE;497449;118733
Châtelat;2715;1;Châtelat;BE;581147;235452
Châtillens;1610;1;Oron;VD;551504;156968
Châtillon FR;1473;2;Châtillon (FR);FR;553675;186778
Châtillon JU;2843;0;Châtillon (JU);JU;592883;241239
Châtonnaye;1553;0;Châtonnaye;FR;562575;177768
Chénens;1744;0;Chénens;FR;566207;176917
Chéserex;1275;0;Chéserex;VD;500782;140741
Chésopelloz;1720;2;Chésopelloz;FR;572391;183929
Chézard-St-Martin;2054;0;Chézard-Saint-Martin;NE;561091;212673
Chêne-Bougeries;1224;0;Chêne-Bougeries;GE;503134;117074
Chêne-Bougeries;1224;0;Thônex;GE;504909;118165
Chêne-Bourg;1225;0;Chêne-Bourg;GE;504202;116865
Chêne-Pâquier;1464;2;Chêne-Pâquier;VD;548998;179590
Cimadera;6959;4;Cimadera;TI;725063;103525
Cimalmotto;6684;1;Campo (Vallemaggia);TI;679379;125309
Cimo;6992;1;Bioggio;TI;712472;95626
Cinuos-chel;7526;0;S-chanf;GR;791233;170458
Clarens;1815;0;Montreux;VD;557833;144035
Clarmont;1127;0;Clarmont;VD;524148;155745
Claro;6702;0;Claro;TI;723052;125006
Clavaleyres;1595;2;Clavaleyres;BE;573680;194176
Clugin;7442;0;Andeer;GR;751452;164436
Clèbes (Nendaz);1993;2;Nendaz;VS;592177;115073
Coeuve;2932;0;Coeuve;JU;574100;255605
Coffrane;2207;0;Coffrane;NE;556340;206555
Coglio;6678;3;Maggia;TI;697666;128016
Coinsins;1267;2;Coinsins;VD;507600;142238
Cointrin;1216;0;Meyrin;GE;497248;120124
Coldrerio;6877;0;Coldrerio;TI;720184;79171
Colla;6951;18;Valcolla;TI;724854;107129
Collex;1239;0;Collex-Bossy;GE;498474;126210
Collombey;1868;0;Monthey;VS;561025;123371
Collonge-Bellerive;1245;0;Collonge-Bellerive;GE;504981;123577
Collonges;1903;0;Collonges;VS;570532;114332
Cologny;1223;0;Cologny;GE;503430;119311
Colombier NE;2013;0;Colombier (NE);NE;556018;201965
Colombier VD;1114;0;Echichens;VD;525739;156511
Comano;6949;0;Comano;TI;717558;99905
Combremont-le-Grand;1535;0;Valbroye;VD;552993;179502
Combremont-le-Petit;1536;0;Valbroye;VD;551447;177421
Commugny;1291;0;Commugny;VD;501870;131044
Comologno;6663;0;Onsernone;TI;687801;117875
Conches;1231;0;Chêne-Bougeries;GE;502808;115596
Concise;1426;0;Concise;VD;545634;190535
Condémines (Nendaz);1996;3;Nendaz;VS;586213;113929
Confignon;1232;0;Confignon;GE;495714;114171
Constantine;1587;1;Vully-les-Lacs;VD;567518;195719
Conters im Prättigau;7241;0;Conters im Prättigau;GR;778990;195287
Conthey;1964;0;Conthey;VS;589472;118500
Contone;6594;0;Gambarogno;TI;714710;112485
Contra;6646;0;Tenero-Contra;TI;708012;116516
Coppet;1296;0;Coppet;VD;503774;130689
Corban;2826;0;Corban;JU;602652;244636
Corbeyrier;1856;0;Corbeyrier;VD;565237;135566
Corbières;1647;0;Corbières;FR;575068;167478
Corcelles BE;2747;2;Aedermannsdorf;SO;608940;240616
Corcelles BE;2747;0;Corcelles (BE);BE;602486;237707
Corcelles NE;2035;0;Corcelles-Cormondrèche;NE;556337;204138
Corcelles-le-Jorat;1082;0;Corcelles-le-Jorat;VD;545729;161090
Corcelles-près-Concise;1426;1;Corcelles-près-Concise;VD;543640;189148
Corcelles-près-Payerne;1562;0;Corcelles-près-Payerne;VD;563854;188495
Corcelles-sur-Chavornay;1374;0;Corcelles-sur-Chavornay;VD;536408;172278
Cordast;1792;0;Gurmels;FR;578001;191367
Corgémont;2606;0;Corgémont;BE;577462;226801
Corin-de-la-Crête;3960;2;Montana;VS;604790;126209
Corippo;6631;0;Corippo;TI;706571;121365
Corjolens;1754;2;Avry;FR;569769;181831
Cormagens;1782;5;La Sonnaz;FR;577020;187257
Corminboeuf;1720;0;Corminboeuf;FR;574034;183721
Cormondrèche;2036;0;Corcelles-Cormondrèche;NE;556305;203357
Cormoret;2612;0;Cormoret;BE;570687;222982
Cormérod;1721;2;Misery-Courtion;FR;572927;190669
Cornaux NE;2087;0;Cornaux;NE;568259;209256
Cornol;2952;0;Cornol;JU;579057;250479
Corpataux-Magnedens;1727;0;Corpataux-Magnedens;FR;574143;177112
Correvon;1410;2;Correvon;VD;546556;174224
Corseaux;1802;0;Corseaux;VD;552757;146813
Corserey;1747;0;Corserey;FR;565637;180313
Corsier GE;1246;0;Corsier (GE);GE;506500;124222
Corsier-sur-Vevey;1804;0;Corsier-sur-Vevey;VD;554851;147473
Cortaillod;2016;0;Cortaillod;NE;554902;199232
Corteglia;6873;0;Castel San Pietro;TI;720781;80195
Corticiasca;6958;2;Capriasca;TI;721571;104344
Corticiasca;6958;2;Capriasca;TI;722032;105172
Cortébert;2607;0;Cortébert;BE;574922;226669
Corzoneso;6722;0;Acquarossa;TI;714211;143736
Cossonay-Ville;1304;0;Cossonay;VD;528225;163207
Cottens FR;1741;0;Cottens (FR);FR;569161;178281
Cottens VD;1116;0;Cottens (VD);VD;524462;158332
Cotterd;1585;3;Vully-les-Lacs;VD;568638;196989
Cotterg (Le Châble VS);1934;2;Bagnes;VS;581738;104118
Courcelon;2823;0;Courroux;JU;597449;246096
Courchapoix;2825;0;Courchapoix;JU;600981;244469
Courchavon;2922;0;Courchavon;JU;570292;254213
Courfaivre;2853;0;Courfaivre;JU;588118;242198
Courgenay;2950;0;Courgenay;JU;576398;249487
Courgevaux;1796;0;Courgevaux;FR;574550;194971
Courlevon;1795;0;Courlevon;FR;574961;193438
Cournillens;1784;2;Misery-Courtion;FR;574166;189572
Courrendlin;2830;0;Courrendlin;JU;595506;242447
Courroux;2822;0;Courroux;JU;595669;246156
Court;2738;0;Court;BE;594267;231799
Courtaman;1791;0;Courtepin;FR;576635;191169
Courtedoux;2905;0;Courtedoux;JU;569076;251296
Courtelary;2608;0;Courtelary;BE;572363;226495
Courtemautruy;2950;2;Courgenay;JU;577479;249830
Courtemaîche;2923;0;Basse-Allaine;JU;570315;256496
Courtepin;1784;0;Courtepin;FR;576084;190016
Courtion;1721;4;Misery-Courtion;FR;571810;189990
Courtételle;2852;0;Courtételle;JU;590794;242332
Cousset;1774;0;Montagny (FR);FR;564399;184935
Couvet;2108;0;Provence;VD;543332;196941
Cozzo;6951;20;Valcolla;TI;725534;106373
Crana;6611;17;Onsernone;TI;689871;116694
Crans-Montana;3963;0;Randogne;VS;603675;130619
Crans-près-Céligny;1299;0;Bogis-Bossey;VD;503520;133816
Crans-près-Céligny;1299;0;Crans-près-Céligny;VD;504859;135427
Crassier;1263;0;Crassier;VD;502292;136849
Cremin;1526;2;Cremin;VD;554291;174911
Cresciano;6705;0;Cresciano;TI;722374;128762
Cressier FR;1785;0;Cressier (FR);FR;577293;193959
Cressier NE;2088;0;Cressier (NE);NE;569267;210963
Cresta (Avers);7447;0;Avers;GR;760563;148739
Cries (Vollèges);1941;2;Vollèges;VS;579600;104665
Crissier;1023;0;Crissier;VD;533963;156361
Cronay;1406;0;Cronay;VD;543628;178470
Croy;1322;0;Croy;VD;527072;170928
Crusch;7554;2;Sent;GR;822906;189609
Crémines;2746;0;Crémines;BE;601221;235807
Crésuz;1653;2;Crésuz;FR;577289;163443
Crête-à-l'Oeil (Les Agettes);1992;3;Les Agettes;VS;595023;117990
Cuarnens;1148;4;Cuarnens;VD;523038;164997
Cuarny;1404;0;Cuarny;VD;542853;180169
Cudrefin;1588;0;Cudrefin;VD;569101;200478
Cugnasco;6516;0;Cugnasco-Gerra;TI;713271;117332
Cugy FR;1482;0;Cugy (FR);FR;558466;184454
Cugy VD;1053;0;Lausanne;VD;540164;159741
Cully;1096;0;Bourg-en-Lavaux;VD;545366;148784
Cumbel;7142;0;Cumbel;GR;734630;177522
Cumpadials;7176;0;Sumvitg;GR;713169;173659
Cunter;7452;0;Cunter;GR;765960;165876
Curaglia;7184;0;Medel (Lucmagn);GR;709804;170601
Cureggia;6963;2;Lugano;TI;719872;97523
Cureglia;6944;0;Cureglia;TI;716512;99387
Curio;6986;3;Curio;TI;710169;95135
Curio;6986;3;Curio;TI;709598;94070
Curtilles;1521;0;Curtilles;VD;554930;172060
Curtina;6959;3;Valcolla;TI;722524;104767
Céligny;1298;0;Céligny;GE;503124;133516
Céligny;1298;0;Céligny;GE;504503;134114
Dachsen;8447;0;Dachsen;ZH;689067;279693
Dagmersellen;6252;0;Dagmersellen;LU;642370;229451
Daillens;1306;0;Daillens;VD;531838;164327
Daillon;1976;2;Conthey;VS;589474;122894
Daiwil;6126;0;Willisau;LU;643472;216464
Dalin;7424;1;Cazis;GR;750364;177852
Dallenwil;6383;0;Dallenwil;NW;671954;197744
Dalpe;6774;0;Dalpe;TI;701575;146140
Damphreux;2933;2;Damphreux;JU;574586;258264
Damvant;2914;0;Haute-Ajoie;JU;558965;246597
Dangio;6717;0;Blenio;TI;716351;150475
Danis;7163;0;Breil/Brigels;GR;723455;179560
Dardagny;1283;1;Dardagny;GE;487822;117856
Dardin;7164;0;Breil/Brigels;GR;722118;179776
Davesco-Soragno;6964;0;Lugano;TI;719873;99081
Davos Clavadel;7272;0;Davos;GR;784229;177176
Davos Dorf;7260;0;Davos;GR;786343;183691
Davos Frauenkirch;7276;0;Davos;GR;777928;183641
Davos Glaris;7277;0;Davos;GR;777939;179086
Davos Monstein;7278;0;Davos;GR;779158;174627
Davos Platz;7270;0;Davos;GR;781462;184372
Davos Wiesen;7494;0;Davos;GR;774305;176224
Davos Wolfgang;7265;0;Davos;GR;784218;190197
Degen;7145;0;Degen;GR;732505;174167
Degersheim;9113;0;Degersheim;SG;732448;248127
Deisswil b. Münchenbuchsee;3053;2;Deisswil bei Münchenbuchsee;BE;601097;209737
Deitingen;4543;0;Deitingen;SO;614123;229660
Delley;1567;0;Delley-Portalban;FR;564306;195856
Delémont;2800;0;Delémont;JU;591982;246410
Denens;1135;0;Denens;VD;524355;152299
Denezy;1410;3;Denezy;VD;550136;174756
Denges;1026;2;Denges;VD;530993;152694
Densbüren;5026;0;Densbüren;AG;646645;256263
Derendingen;4552;0;Derendingen;SO;611461;226575
Detligen;3036;0;Radelfingen;BE;587049;204375
Dettighofen;8505;2;Pfyn;TG;713936;275372
Develier;2802;0;Develier;JU;588463;245841
Dicken;9115;0;Neckertal;SG;732907;244403
Diegten;4457;0;Diegten;BL;628278;251005
Dielsdorf;8157;0;Dielsdorf;ZH;676628;258814
Diemerswil;3053;3;Diemerswil;BE;598518;207592
Diemtigen;3754;0;Diemtigen;BE;608979;166295
Diepflingen;4442;0;Diepflingen;BL;630447;254989
Diepoldsau;9444;0;Diepoldsau;SG;766759;250382
Dierikon;6036;0;Dierikon;LU;670989;216273
Diesbach GL;8777;0;Glarus Süd;GL;722596;200946
Diessbach b. Büren;3264;0;Diessbach bei Büren;BE;594408;217344
Diesse;2517;0;Diesse;BE;575898;218751
Diessenhofen;8253;0;Diessenhofen;TG;696314;281758
Dieterswil;3256;0;Rapperswil (BE);BE;599392;211084
Dietfurt;9615;0;Bütschwil;SG;723445;244314
Dietikon;8953;0;Dietikon;ZH;672378;250423
Dietlikon;8305;0;Dietlikon;ZH;688566;253337
Dietschwil;9533;1;Kirchberg (SG);SG;718684;253969
Dietwil;6042;0;Dietwil;AG;672659;222513
Dinhard;8474;0;Dinhard;ZH;699835;268445
Dino;6967;0;Sonvico;TI;719451;101286
Dintikon;5606;0;Dintikon;AG;659140;245876
Disentis/Mustér;7180;0;Disentis/Mustér;GR;707288;178122
Dittingen;4243;0;Dittingen;BL;603732;254665
Dizy;1304;2;Dizy;VD;527847;165203
Domat/Ems;7013;0;Domat/Ems;GR;753686;187322
Dombresson;2056;0;Dombresson;NE;563597;213446
Domdidier;1564;0;Domdidier;FR;567365;190060
Dommartin;1041;21;Montilliez;VD;543160;166054
Dompierre FR;1563;0;Dompierre (FR);FR;565965;189651
Dompierre VD;1682;3;Dompierre (VD);VD;557398;173571
Donat;7433;0;Casti-Wergenstein;GR;751937;165463
Donatyre;1582;0;Avenches;VD;571182;191213
Dongio;6715;0;Acquarossa;TI;717881;145217
Donneloye;1407;0;Donneloye;VD;545073;177595
Donzhausen;8583;2;Sulgen;TG;732465;268625
Doppleschwand;6112;0;Doppleschwand;LU;646444;206719
Dorf;8458;0;Dorf;ZH;691097;269654
Dornach;4143;0;Dornach;SO;614066;258391
Dorénaz;1905;0;Dorénaz;VS;570785;110833
Dotnacht;8566;2;Kemmental;TG;728082;273313
Dottikon;5605;0;Dottikon;AG;660931;247411
Dotzigen;3293;0;Dotzigen;BE;593195;219500
Dozwil;8582;0;Dozwil;TG;741656;271131
Dranse (Liddes);1945;4;Liddes;VS;579931;93303
