Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Basel;4055;0;Basel;BS;609433;268118
Basel;4057;0;Basel;BS;612132;269502
Basel;4058;0;Basel;BS;613302;268404
Basel;4056;0;Basel;BS;610146;268770
Basel;4052;0;Basel;BS;612708;266308
Basel;4001;0;Basel;BS;611308;267305
Basse-Nendaz;1996;0;Nendaz;VS;589899;115685
Bassecourt;2854;0;Bassecourt;JU;584798;242617
Bassersdorf;8303;0;Bassersdorf;ZH;689557;255057
Bassins;1269;0;Bassins;VD;504898;149249
Bauen;6466;0;Bauen;UR;686905;198365
Baulmes;1446;0;Baulmes;VD;528590;182221
Bauma;8494;0;Bauma;ZH;709799;247232
Bavois;1372;0;Bavois;VD;533199;170319
Bazenheid;9602;0;Kirchberg (SG);SG;722805;252512
Beatenberg;3803;0;Beatenberg;BE;627689;173188
Beckenried;6375;0;Beckenried;NW;679090;198125
Bedano;6930;0;Bedano;TI;714408;101090
Bedigliora;6981;11;Bedigliora;TI;707643;97643
Bedigliora;6981;11;Bedigliora;TI;708733;95627
Bedretto;6781;4;Bedretto;TI;679292;149514
Beggingen;8228;0;Beggingen;SH;682544;291161
Begnins;1268;0;Begnins;VD;508497;144515
Beinwil (Freiamt);5637;0;Beinwil (Freiamt);AG;668555;231315
Beinwil SO;4229;0;Beinwil (SO);SO;611355;244845
Beinwil am See;5712;0;Beinwil am See;AG;658196;235179
Belalp;3914;1;Naters;VS;641423;140810
Belfaux;1782;0;Belfaux;FR;573936;186012
Bellach;4512;0;Bellach;SO;604335;228806
Bellelay;2713;0;Saicourt;BE;579156;234840
Bellerive VD;1585;2;Vully-les-Lacs;VD;568262;197220
Bellevue;1293;0;Bellevue;GE;499492;123867
Bellikon;5454;0;Bellikon;AG;668683;249406
Bellinzona;6500;0;Bellinzona;TI;723262;117424
Bellmund;2564;0;Bellmund;BE;585499;216850
Bellwald;3997;0;Bellwald;VS;655187;143801
Belmont-sur-Lausanne;1092;0;Belmont-sur-Lausanne;VD;542618;153328
Belmont-sur-Yverdon;1432;0;Belmont-sur-Yverdon;VD;537788;176619
Belp;3123;0;Belp;BE;605239;193577
Belpberg;3124;0;Belp;BE;606531;190689
Belprahon;2744;0;Belprahon;BE;597483;237700
Benglen;8121;0;Fällanden;ZH;690551;246284
Benken SG;8717;0;Benken (SG);SG;718021;228000
Benken ZH;8463;0;Benken (ZH);ZH;691357;278832
Bennau;8836;0;Einsiedeln;SZ;696937;222860
Bennwil;4431;0;Bennwil;BL;625938;249349
Benzenschwil;5636;0;Merenschwand;AG;670099;233259
Bercher;1038;0;Bercher;VD;543939;171228
Berg (Dägerlen);8471;4;Dägerlen;ZH;697483;269218
Berg SG;9305;0;Berg (SG);SG;748740;261464
Berg TG;8572;0;Berg (TG);TG;731932;273419
Berg TG;8572;0;Berg (TG);TG;729536;271416
Berg am Irchel;8415;0;Berg am Irchel;ZH;686345;268672
Bergdietikon;8962;0;Bergdietikon;AG;671022;249053
Bergün/Bravuogn;7482;0;Bergün/Bravuogn;GR;782044;168581
Berikon;8965;0;Berikon;AG;671648;245124
Beringen;8222;0;Beringen;SH;685370;283694
Berken;3376;2;Berken;BE;620124;230523
Berlens;1680;2;Mézières (FR);FR;562627;171600
Berlingen;8267;0;Berlingen;TG;719491;280588
Bern;3008;0;Bern;BE;598117;199335
Bern;3015;0;Bern;BE;603566;198792
Bern;3019;0;Bern;BE;593094;197769
Bern;3010;0;Bern;BE;598915;199555
Bern;3011;0;Bern;BE;601773;200271
Bern;3012;0;Bern;BE;599040;201167
Bern;3018;0;Bern;BE;596229;198090
Bern;3006;0;Bern;BE;602485;199414
